Name,Address,DataType,RefreshRate,AccessPermission,Gain,Offset,Description
STT1,406002,DWord,100,ReadAndWrite,1,0,
Xa1,406004,DWord,100,ReadAndWrite,1,0,
Nap11,406006,DWord,100,ReadAndWrite,1,0,
Cao1,406008,DWord,100,ReadAndWrite,1,0,
Nap12,406010,DWord,100,ReadAndWrite,1,0,
Lang1,406012,DWord,100,ReadAndWrite,1,0,
Song1,406014,DWord,100,ReadAndWrite,1,0,
KheHo1,406016,DWord,100,ReadAndWrite,1,0,
STT2,406018,DWord,100,ReadAndWrite,1,0,
Xa2,406020,DWord,100,ReadAndWrite,1,0,
Nap21,406022,DWord,100,ReadAndWrite,1,0,
Cao2,406024,DWord,100,ReadAndWrite,1,0,
Nap22,406026,DWord,100,ReadAndWrite,1,0,
Lang2,406028,DWord,100,ReadAndWrite,1,0,
Song2,406030,DWord,100,ReadAndWrite,1,0,
KheHo2,406032,DWord,100,ReadAndWrite,1,0,
Dao1_SV,406034,DWord,100,ReadAndWrite,1,0,
Dao2_SV,406036,DWord,100,ReadAndWrite,1,0,
Dao3_SV,406038,DWord,100,ReadAndWrite,1,0,
Dao4_SV,406040,DWord,100,ReadAndWrite,1,0,
Dao5_SV,406042,DWord,100,ReadAndWrite,1,0,
Hut_SV,406044,DWord,100,ReadAndWrite,1,0,
Lang1_SV,406046,DWord,100,ReadAndWrite,1,0,
Lang2_SV,406048,DWord,100,ReadAndWrite,1,0,
Lang3_SV,406050,DWord,100,ReadAndWrite,1,0,
Lang4_SV,406052,DWord,100,ReadAndWrite,1,0,
Lang5_SV,406054,DWord,100,ReadAndWrite,1,0,
Lang6_SV,406056,DWord,100,ReadAndWrite,1,0,
Lang7_SV,406058,DWord,100,ReadAndWrite,1,0,
Lang8_SV,406060,DWord,100,ReadAndWrite,1,0,
KheHo_SV,406062,DWord,100,ReadAndWrite,1,0,
LenhChuyenDon,406064,Word,100,ReadAndWrite,1,0,
CheDoChuyenDon,406066,Word,100,ReadAndWrite,1,0,
Run,406068,Word,100,ReadAndWrite,1,0,
Chieudaidon,406070,DWord,100,ReadAndWrite,1,0,
DoiDon,406072,Long,100,ReadAndWrite,1,0,
Dao1_PV,406074,DWord,100,ReadAndWrite,1,0,
Dao1_U,406076,DWord,100,ReadAndWrite,1,0,
Dao2_PV,406078,DWord,100,ReadAndWrite,1,0,
Dao2_U,406080,DWord,100,ReadAndWrite,1,0,
Dao3_PV,406082,DWord,100,ReadAndWrite,1,0,
Dao3_U,406084,DWord,100,ReadAndWrite,1,0,
Dao4_PV,406086,DWord,100,ReadAndWrite,1,0,
Dao4_U,406088,DWord,100,ReadAndWrite,1,0,
Dao5_PV,406090,DWord,100,ReadAndWrite,1,0,
Dao5_U,406092,DWord,100,ReadAndWrite,1,0,
Hut_PV,406094,DWord,100,ReadAndWrite,1,0,
Lang1_PV,406096,DWord,100,ReadAndWrite,1,0,
Lang1_U,406098,DWord,100,ReadAndWrite,1,0,
Lang2_PV,406100,DWord,100,ReadAndWrite,1,0,
Lang2_U,406102,DWord,100,ReadAndWrite,1,0,
Lang3_PV,406104,DWord,100,ReadAndWrite,1,0,
Lang3_U,406106,DWord,100,ReadAndWrite,1,0,
Lang4_PV,406108,DWord,100,ReadAndWrite,1,0,
Lang4_U,406110,DWord,100,ReadAndWrite,1,0,
Lang5_PV,406112,DWord,100,ReadAndWrite,1,0,
Lang5_U,406114,DWord,100,ReadAndWrite,1,0,
Lang6_PV,406116,DWord,100,ReadAndWrite,1,0,
Lang6_U,406118,DWord,100,ReadAndWrite,1,0,
Lang7_PV,406120,DWord,100,ReadAndWrite,1,0,
Lang7_U,406122,DWord,100,ReadAndWrite,1,0,
Lang8_PV,406124,DWord,100,ReadAndWrite,1,0,
Lang8_U,406126,DWord,100,ReadAndWrite,1,0,
KheHo_PV,406128,DWord,100,ReadAndWrite,1,0,
Dao1_Adj,406130,DWord,100,ReadAndWrite,1,0,
Dao2_Adj,406132,DWord,100,ReadAndWrite,1,0,
Dao3_Adj,406134,DWord,100,ReadAndWrite,1,0,
Dao4_Adj,406136,DWord,100,ReadAndWrite,1,0,
Dao5_Adj,406138,DWord,100,ReadAndWrite,1,0,
Hut_Adj,406140,DWord,100,ReadAndWrite,1,0,
Lang1_Adj,406142,DWord,100,ReadAndWrite,1,0,
Lang2_Adj,406144,DWord,100,ReadAndWrite,1,0,
Lang3_Adj,406146,DWord,100,ReadAndWrite,1,0,
Lang4_Adj,406148,DWord,100,ReadAndWrite,1,0,
Lang5_Adj,406150,DWord,100,ReadAndWrite,1,0,
Lang6_Adj,406152,DWord,100,ReadAndWrite,1,0,
Lang7_Adj,406154,DWord,100,ReadAndWrite,1,0,
Lang8_Adj,406156,DWord,100,ReadAndWrite,1,0,
KheHo_Adj,406158,DWord,100,ReadAndWrite,1,0,
Dao1_Max,406160,DWord,100,ReadAndWrite,1,0,
Dao2_Max,406162,DWord,100,ReadAndWrite,1,0,
Dao_Dao,406164,DWord,100,ReadAndWrite,1,0,
Lang1_Min,406166,DWord,100,ReadAndWrite,1,0,
Lang1_Max,406168,DWord,100,ReadAndWrite,1,0,
Lang2_Min,406170,DWord,100,ReadAndWrite,1,0,
Lang2_Max,406172,DWord,100,ReadAndWrite,1,0,
Lang3_Min,406174,DWord,100,ReadAndWrite,1,0,
Lang3_Max,406176,DWord,100,ReadAndWrite,1,0,
Lang4_Min,406178,DWord,100,ReadAndWrite,1,0,
Lang4_Max,406180,DWord,100,ReadAndWrite,1,0,
Lang_Lang,406182,DWord,100,ReadAndWrite,1,0,
MaiDao1_SV,406184,DWord,100,ReadAndWrite,1,0,
MaiDao2_SV,406186,DWord,100,ReadAndWrite,1,0,
MaiDao3_SV,406188,DWord,100,ReadAndWrite,1,0,
MaiDao4_SV,406190,DWord,100,ReadAndWrite,1,0,
MaiDao5_SV,406192,DWord,100,ReadAndWrite,1,0,
Setting1,406194,DWord,100,ReadAndWrite,1,0,
Setting2,406196,DWord,100,ReadAndWrite,1,0,
Setting3,406198,DWord,100,ReadAndWrite,1,0,
Setting4,406200,DWord,100,ReadAndWrite,1,0,
Setting5,406202,DWord,100,ReadAndWrite,1,0,
Setting6,406204,DWord,100,ReadAndWrite,1,0,
Setting7,406206,DWord,100,ReadAndWrite,1,0,
Setting8,406208,DWord,100,ReadAndWrite,1,0,
Setting9,406210,DWord,100,ReadAndWrite,1,0,
MaiDao1_PV,406212,DWord,100,ReadAndWrite,1,0,
MaiDao1_TT,406214,DWord,100,ReadAndWrite,1,0,
MaiDao2_PV,406216,DWord,100,ReadAndWrite,1,0,
MaiDao2_TT,406218,DWord,100,ReadAndWrite,1,0,
